Lever,Altitude_ft,Mach,Thrust_N,TSFC_kg_per_Ns,TSFC_unit_flag,Valid,Error
0.0,0.0,0.0,23755.0,7.249421174489581e-06,kg/(N·s),1,
0.0,0.0,0.02,22573.8,7.628046673577334e-06,kg/(N·s),1,
0.0,0.0,0.04,21392.6,8.048484055234053e-06,kg/(N·s),1,
0.0,0.0,0.06,20303.4,8.478678447944677e-06,kg/(N·s),1,
0.0,0.0,0.08,19306.2,8.91413121173509e-06,kg/(N·s),1,
0.0,0.0,0.1,18309.0,9.39701786006882e-06,kg/(N·s),1,
0.0,0.0,0.12,17460.6,9.84948970825745e-06,kg/(N·s),1,
0.0,0.0,0.14,16612.199999999997,1.0348177845198109e-05,kg/(N·s),1,
0.0,0.0,0.16,15813.599999999997,1.0861663378357871e-05,kg/(N·s),1,
0.0,0.0,0.18,15064.800000000001,1.1387207264616854e-05,kg/(N·s),1,
0.0,0.0,0.2,14316.0,1.1967728415758593e-05,kg/(N·s),1,
0.0,0.0,0.22,13634.000000000002,1.2536452985184097e-05,kg/(N·s),1,
0.0,0.0,0.24,12952.000000000002,1.3165071031500924e-05,kg/(N·s),1,
0.0,0.0,0.26,12287.6,1.3831179400371105e-05,kg/(N·s),1,
0.0,0.0,0.28,11640.8,1.4538176070373171e-05,kg/(N·s),1,
0.0,0.0,0.3,10994.0,1.532836092414044e-05,kg/(N·s),1,
0.0,0.0,0.32,10348.959999999997,1.6163170019016407e-05,kg/(N·s),1,
0.0,0.0,0.34,9703.919999999996,1.7108962151378006e-05,kg/(N·s),1,
0.0,0.0,0.36,9046.24,1.817440174039159e-05,kg/(N·s),1,
0.0,0.0,0.38,8375.92,1.939249658544972e-05,kg/(N·s),1,
0.0,0.0,0.4,7705.599999999999,2.0822518687707644e-05,kg/(N·s),1,
0.0,0.0,0.42,6980.040000000001,2.259213414249775e-05,kg/(N·s),1,
0.0,0.0,0.44,6254.4800000000005,2.4772323198731147e-05,kg/(N·s),1,
0.0,0.0,0.46,5485.46,2.7642895946739197e-05,kg/(N·s),1,
0.0,0.0,0.48,4672.9800000000005,3.1624787608763576e-05,kg/(N·s),1,
0.0,0.0,0.5,3860.5,3.7282735396969306e-05,kg/(N·s),1,
0.0,0.0,0.52,2984.2599999999998,4.651806477987843e-05,kg/(N·s),1,
0.0,0.0,0.54,2108.02,6.343108699158452e-05,kg/(N·s),1,
0.0,0.0,0.56,2913.0119999999993,5.035818596009904e-05,kg/(N·s),1,
0.0,0.0,0.58,1938.2360000000024,7.267536048241795e-05,kg/(N·s),1,
0.0,0.0,0.6,963.46,0.0001401511219977996,kg/(N·s),1,
0.0,0.0,0.62,4860.240000000013,3.751337382516082e-05,kg/(N·s),1,
0.0,0.0,0.64,3818.880000000013,4.620935981230087e-05,kg/(N·s),1,
0.0,0.0,0.66,2766.7260000000124,6.192806949441303e-05,kg/(N·s),1,
0.0,0.0,0.68,1703.7780000000098,9.797872727550137e-05,kg/(N·s),1,
0.0,0.0,0.7000000000000001,640.8299999778093,0.0002536242061164868,kg/(N·s),1,
0.0,0.0,0.72,5446.300000000015,3.996291059985671e-05,kg/(N·s),1,
0.0,0.0,0.74,4393.700000000015,4.842160365978547e-05,kg/(N·s),1,
0.0,0.0,0.76,3346.8800000000156,6.226156898365021e-05,kg/(N·s),1,
0.0,0.0,0.78,2305.8400000000156,8.870780279637737e-05,kg/(N·s),1,
0.0,0.0,0.8,1264.8000000000154,0.00015868912080961237,kg/(N·s),1,
0.0,0.0,0.8200000000000001,7399.040000000032,3.6511763688262155e-05,kg/(N·s),1,
0.0,0.0,0.84,6495.880000000037,4.099891007838798e-05,kg/(N·s),1,
0.0,0.0,0.86,5629.820000000037,4.669740773239618e-05,kg/(N·s),1,
0.0,0.0,0.88,4800.860000000038,5.413071824631386e-05,kg/(N·s),1,
0.0,0.0,0.9,3971.900000000038,6.466678415871446e-05,kg/(N·s),1,
0.0,0.0,0.92,3243.8200000000375,7.850805531749527e-05,kg/(N·s),1,
0.0,0.0,0.9400000000000001,2515.7400000000366,0.00010036092759983017,kg/(N·s),1,
0.0,0.0,0.96,,,,0,The mach number is out of range.
0.0,0.0,0.98,,,,0,The mach number is out of range.
0.0,0.0,1.0,,,,0,The mach number is out of range.
0.0,2000.0,0.0,19973.0,6.9854303309467785e-06,kg/(N·s),1,
0.0,2000.0,0.02,19011.399999999998,7.338123441724441e-06,kg/(N·s),1,
0.0,2000.0,0.04,18049.8,7.728395882502853e-06,kg/(N·s),1,
0.0,2000.0,0.06,17161.599999999995,8.126864628006714e-06,kg/(N·s),1,
0.0,2000.0,0.08,16346.800000000001,8.529498128073995e-06,kg/(N·s),1,
0.0,2000.0,0.1,15532.0,8.974375482874066e-06,kg/(N·s),1,
0.0,2000.0,0.12,14837.600000000002,9.390871839111445e-06,kg/(N·s),1,
0.0,2000.0,0.14,14143.199999999999,9.848266304655241e-06,kg/(N·s),1,
0.0,2000.0,0.16,13489.599999999999,1.0317429723638951e-05,kg/(N·s),1,
0.0,2000.0,0.18,12876.8,1.079569458250497e-05,kg/(N·s),1,
0.0,2000.0,0.2,12264.0,1.1321754729288976e-05,kg/(N·s),1,
0.0,2000.0,0.22,11706.399999999998,1.1834039499760817e-05,kg/(N·s),1,
0.0,2000.0,0.24,11148.8,1.2397567451205509e-05,kg/(N·s),1,
0.0,2000.0,0.26,10607.56,1.2990546365045308e-05,kg/(N·s),1,
0.0,2000.0,0.28,10082.68,1.361483256435789e-05,kg/(N·s),1,
0.0,2000.0,0.3,9557.800000000001,1.4307685869133064e-05,kg/(N·s),1,
0.0,2000.0,0.32,9034.839999999998,1.5031810192543533e-05,kg/(N·s),1,
0.0,2000.0,0.34,8511.88,1.584491322716016e-05,kg/(N·s),1,
0.0,2000.0,0.36,7983.000000000001,1.674758862582989e-05,kg/(N·s),1,
0.0,2000.0,0.38,7448.2,1.7761069788673777e-05,kg/(N·s),1,
0.0,2000.0,0.4,6913.400000000001,1.8931350710214944e-05,kg/(N·s),1,
0.0,2000.0,0.42,6333.920000000001,2.0337484527749003e-05,kg/(N·s),1,
0.0,2000.0,0.44,5754.4400000000005,2.2026817553054683e-05,kg/(N·s),1,
0.0,2000.0,0.46,5144.0,2.41699066874028e-05,kg/(N·s),1,
0.0,2000.0,0.48,4502.600000000001,2.6995513703193703e-05,kg/(N·s),1,
0.0,2000.0,0.5,3861.2000000000003,3.0759867398736145e-05,kg/(N·s),1,
0.0,2000.0,0.52,3170.84,3.623203945957537e-05,kg/(N·s),1,
0.0,2000.0,0.54,2480.48,4.475020963684448e-05,kg/(N·s),1,
0.0,2000.0,0.56,1753.1679999999992,6.098913509714988e-05,kg/(N·s),1,
0.0,2000.0,0.58,988.9040000000018,0.00010380441377525,kg/(N·s),1,
0.0,2000.0,0.6,224.64000000000001,0.0004379496082621082,kg/(N·s),1,
0.0,2000.0,0.62,5015.84000000001,3.032792114581003e-05,kg/(N·s),1,
0.0,2000.0,0.64,4199.280000000011,3.5158408108056556e-05,kg/(N·s),1,
0.0,2000.0,0.66,3373.9200000000096,4.253035045288558e-05,kg/(N·s),1,
0.0,2000.0,0.68,2539.7600000000084,5.499811005764309e-05,kg/(N·s),1,
0.0,2000.0,0.7000000000000001,1705.5999999778048,7.966111632373837e-05,kg/(N·s),1,
0.0,2000.0,0.72,5811.620000000012,3.143116721327268e-05,kg/(N·s),1,
0.0,2000.0,0.74,4990.740000000013,3.580671403439163e-05,kg/(N·s),1,
0.0,2000.0,0.76,4179.980000000014,4.1882975516629156e-05,kg/(N·s),1,
0.0,2000.0,0.78,3379.3400000000133,5.082945190480966e-05,kg/(N·s),1,
0.0,2000.0,0.8,2578.700000000013,6.533136851902094e-05,kg/(N·s),1,
0.0,2000.0,0.8200000000000001,1801.9560000000113,9.209214875390915e-05,kg/(N·s),1,
0.0,2000.0,0.84,1025.2120000000143,0.00015940312832857774,kg/(N·s),1,
0.0,2000.0,0.86,6439.320000000031,3.462756937067879e-05,kg/(N·s),1,
0.0,2000.0,0.88,5833.56000000003,3.78420724223286e-05,kg/(N·s),1,
