1.1;0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95;
0;873.41;873.34;873.07;872.61;871.96;871.21;870.56;870.13;870.21;871.04;872.93;876.11;880.29;885.25;890.67;896.55;902.82;909.3;916.14;923.53;
500;869.31;869.22;868.97;868.48;867.82;867.13;866.48;866.06;866.1;866.83;868.53;871.55;875.57;880.38;885.71;891.47;897.69;904.26;911.01;918.2;
1000;865.09;865;864.72;864.27;863.67;863.04;862.45;862.07;862.1;862.79;864.4;867.21;871;875.61;880.76;886.43;892.53;899.08;905.92;912.96;
1500;860.63;860.57;860.37;860;859.46;858.91;858.41;858.1;858.16;858.86;860.46;863.16;866.67;871;875.93;881.42;887.41;893.84;900.71;907.79;
2000;856.21;856.15;855.97;855.71;855.26;854.77;854.3;854.09;854.22;854.99;856.63;859.28;862.63;866.62;871.25;876.5;882.32;888.64;895.4;902.55;
2500;851.74;851.69;851.55;851.35;851.06;850.71;850.36;850.19;850.36;851.13;852.85;855.49;858.76;862.54;866.81;871.74;877.31;883.47;890.1;897.18;
3000;847.15;847.11;847.01;846.88;846.68;846.48;846.31;846.26;846.56;847.46;849.24;851.8;854.97;858.62;862.66;867.21;872.45;878.36;884.84;891.78;
3500;842.45;842.42;842.35;842.27;842.18;842.08;842.09;842.24;842.68;843.71;845.63;848.28;851.42;854.85;858.69;862.98;867.82;873.4;879.63;886.43;
4000;837.79;837.77;837.72;837.66;837.63;837.6;837.7;838.06;838.71;839.89;841.94;844.66;847.88;851.34;855.01;858.97;863.5;868.64;874.55;881.11;
4500;833.03;833.02;832.99;832.99;833.04;833.13;833.36;833.81;834.65;835.98;838.16;840.95;844.23;847.76;851.45;855.34;859.52;864.2;869.66;875.91;
5000;828.22;828.21;828.2;828.22;828.31;828.52;828.88;829.5;830.51;832.09;834.37;837.15;840.49;844.06;847.82;851.74;855.84;860.25;865.11;870.88;
5500;823.3;823.3;823.33;823.41;823.56;823.86;824.33;825.07;826.22;827.98;830.49;833.47;836.76;840.26;844.07;848.07;852.19;856.5;861.13;866.27;
6000;818.22;818.25;818.31;818.44;818.67;819.07;819.67;820.55;821.86;823.77;826.39;829.52;833.02;836.58;840.32;844.27;848.48;852.8;857.31;862.17;
6500;813;813.03;813.14;813.33;813.64;814.12;814.85;815.89;817.37;819.44;822.22;825.43;829;832.77;836.59;840.55;844.69;849.05;853.56;858.26;
7000;808.57;808.57;808.57;808.6;808.71;809.03;809.87;811.05;812.69;814.97;817.86;821.19;824.85;828.71;832.72;836.77;840.95;845.29;849.76;854.44;
7500;804.29;804.3;804.31;804.36;804.49;804.77;805.3;806.13;807.85;810.29;813.31;816.77;820.53;824.49;828.62;832.87;837.13;841.51;846.03;850.65;
8000;800.03;800.04;800.06;800.12;800.27;800.58;801.14;802.04;803.37;805.41;808.56;812.14;816.02;820.09;824.33;828.71;833.2;837.66;842.21;846.9;
8500;795.68;795.69;795.73;795.81;795.99;796.32;796.89;797.87;799.29;801.33;803.87;807.31;811.3;815.49;819.86;824.36;828.98;833.69;838.34;843.05;
9000;791.33;791.35;791.39;791.49;791.7;792.05;792.66;793.67;795.15;797.24;799.84;802.85;806.37;810.67;815.17;819.81;824.57;829.42;834.34;839.14;
9500;787.01;787.02;787.07;787.19;787.41;787.8;788.44;789.46;791;793.14;795.72;798.77;802.07;805.65;810.27;815.05;819.96;824.95;830.01;835.1;
10000;782.71;782.73;782.78;782.9;783.14;783.54;784.21;785.25;786.84;789.01;791.6;794.62;797.93;801.48;805.27;810.06;815.12;820.27;825.48;830.75;
10500;778.43;778.45;778.53;778.66;778.91;779.33;780.02;781.09;782.68;784.87;787.47;790.46;793.72;797.27;801.06;805.08;810.04;815.36;820.74;826.16;
11000;773.91;773.95;774.07;774.25;774.57;775.08;775.87;776.96;778.58;780.71;783.32;786.28;789.51;793.01;796.79;800.82;805.05;810.2;815.76;821.36;
11500;774.07;774.12;774.24;774.48;774.86;775.47;776.37;777.6;779.38;781.55;784.16;787.12;790.36;793.87;797.65;801.66;805.9;811.07;816.62;822.23;
12000;774.25;774.29;774.42;774.65;775.04;775.64;776.54;777.77;779.55;781.86;784.67;787.84;791.22;794.73;798.51;802.51;806.76;811.92;817.49;823.1;
12500;774.44;774.47;774.59;774.82;775.21;775.81;776.71;777.95;779.73;782.05;784.85;788.03;791.5;795.26;799.31;803.36;807.61;812.78;818.36;823.97;
13000;774.59;774.63;774.76;774.99;775.37;775.97;776.87;778.12;779.91;782.23;785.03;788.21;791.69;795.45;799.49;803.75;808.29;813.64;819.23;824.85;
13500;774.75;774.78;774.91;775.14;775.53;776.13;777.03;778.29;780.09;782.41;785.2;788.38;791.85;795.62;799.67;803.95;808.5;813.99;819.89;825.73;
14000;774.89;774.93;775.05;775.29;775.67;776.27;777.17;778.45;780.25;782.57;785.36;788.54;792.02;795.79;799.85;804.14;808.7;814.19;820.11;826.07;
1.05;0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95;
0;837.17;837.09;836.89;836.59;836.25;835.99;835.97;836.24;836.99;838.4;840.6;843.7;847.84;852.88;858.58;864.77;871.43;878.52;886.01;893.8;
500;832.77;832.69;832.47;832.15;831.79;831.44;831.33;831.54;832.21;833.54;835.69;838.74;842.8;847.69;853.28;859.39;865.97;872.98;880.41;888.22;
1000;828.36;828.27;828.04;827.68;827.27;826.88;826.7;826.83;827.44;828.7;830.79;833.85;837.88;842.63;848.05;854.03;860.51;867.44;874.79;882.55;
1500;823.94;823.85;823.6;823.22;822.78;822.35;822.09;822.15;822.67;823.87;825.91;828.95;833.01;837.68;842.93;848.73;855.08;861.9;869.17;876.85;
2000;819.79;819.7;819.42;818.99;818.49;817.96;817.58;817.5;817.95;819.08;821.05;824.09;828.12;832.79;837.93;843.53;849.69;856.38;863.55;871.14;
2500;815.73;815.64;815.35;814.91;814.36;813.79;813.34;813.16;813.37;814.26;816.13;819.17;823.22;827.88;832.99;838.46;844.4;850.9;857.93;865.42;
3000;811.76;811.66;811.38;810.92;810.34;809.72;809.21;808.88;808.95;809.73;811.49;814.4;818.26;822.94;828.03;833.45;839.23;845.5;852.36;859.72;
3500;807.87;807.77;807.49;807.01;806.44;805.79;805.21;804.71;804.69;805.37;807.02;809.83;813.58;818.04;823.03;828.43;834.15;840.24;846.84;854.04;
4000;804.14;804.04;803.76;803.28;802.67;802.01;801.3;800.75;800.64;801.21;802.73;805.42;809.02;813.37;818.16;823.41;829.06;835.07;841.47;848.41;
4500;800.42;800.33;800.06;799.61;799.02;798.37;797.62;796.99;796.78;797.25;798.64;801.2;804.63;808.79;813.44;818.52;824.06;829.92;836.2;842.91;
5000;796.52;796.45;796.24;795.84;795.3;794.67;793.95;793.39;793.19;793.61;794.85;797.19;800.45;804.38;808.81;813.74;819.1;824.92;831.02;837.54;
5500;792.44;792.38;792.2;791.94;791.52;790.94;790.31;789.83;789.67;790.11;791.37;793.61;796.55;800.18;804.35;809.05;814.25;819.9;825.96;832.33;
6000;788.24;788.19;788.04;787.83;787.53;787.08;786.59;786.24;786.19;786.69;787.99;790.21;793.03;796.36;800.18;804.54;809.5;814.96;820.88;827.18;
6500;783.92;783.88;783.77;783.62;783.36;783.02;782.73;782.52;782.61;783.25;784.71;786.92;789.66;792.82;796.36;800.39;804.95;810.13;815.87;822.06;
7000;779.49;779.46;779.37;779.22;779.03;778.82;778.69;778.68;778.92;779.7;781.34;783.64;786.4;789.46;792.79;796.52;800.77;805.57;810.95;816.95;
7500;774.85;774.83;774.76;774.66;774.58;774.48;774.48;774.67;775.14;776.09;777.84;780.24;783.11;786.16;789.42;792.95;796.85;801.31;806.36;812;
8000;770.07;770.05;770;769.96;769.96;769.99;770.13;770.48;771.18;772.38;774.28;776.74;779.67;782.81;786.08;789.54;793.25;797.35;802.02;807.31;
8500;765.13;765.13;765.11;765.11;765.18;765.34;765.62;766.13;767.02;768.46;770.59;773.14;776.11;779.31;782.68;786.15;789.79;793.7;798.01;802.86;
9000;760.04;760.05;760.07;760.12;760.26;760.53;760.95;761.63;762.7;764.33;766.65;769.43;772.47;775.7;779.12;782.69;786.37;790.19;794.28;798.79;
9500;754.78;754.8;754.86;754.97;755.19;755.55;756.12;756.96;758.19;760.01;762.49;765.42;768.67;772;775.46;779.08;782.85;786.71;790.71;794.98;
10000;749.5;749.49;749.48;749.65;749.95;750.41;751.11;752.11;753.53;755.52;758.16;761.21;764.57;768.09;771.69;775.37;779.19;783.15;787.17;791.34;
10500;745.1;745.11;745.1;745.12;745.21;745.43;745.94;747.07;748.66;750.85;753.61;756.78;760.26;763.9;767.68;771.53;775.41;779.43;783.56;787.75;
11000;740.73;740.73;740.74;740.78;740.89;741.14;741.6;742.42;743.63;745.95;748.83;752.14;755.72;759.49;763.4;767.43;771.51;775.6;779.79;784.09;
11500;740.91;740.93;740.97;741.05;741.23;741.57;742.17;743.06;744.44;746.76;749.64;752.95;756.55;760.31;764.23;768.27;772.34;776.43;780.62;784.93;
12000;741.1;741.11;741.14;741.23;741.41;741.74;742.34;743.24;744.63;747.12;750.19;753.7;757.37;761.14;765.06;769.1;773.16;777.26;781.45;785.76;
12500;741.27;741.27;741.31;741.39;741.57;741.91;742.48;743.44;744.81;747.3;750.37;753.89;757.7;761.71;765.87;769.94;774;778.09;782.29;786.6;
13000;741.43;741.44;741.47;741.55;741.73;742.07;742.64;743.6;744.98;747.47;750.55;754.07;757.89;761.9;766.07;770.37;774.7;778.93;783.13;787.44;
13500;741.58;741.59;741.62;741.7;741.88;742.22;742.82;743.76;745.13;747.63;750.71;754.24;758.06;762.08;766.25;770.52;774.84;779.26;783.79;788.28;
